,txHash,blockNumber,我方time,我方gasPrice,我方toMiner,我方gasUsed,我方折算,是否N+2,是否抢机会,对方botTime,对方gasPrice,对方toMiner,对方gasUsed,对方折算
34,0x03a28da6adefb0e340668c2bcefa4c47669a8e88ae36e4ea0d75744251264bde,13006452,2021-08-12 06:01:22,47310076981,1518756272132874,206864,54651887407.81604,yes,no,,,,,
49,0x2954f826e131efcf4a89b4d10a20f90e034c4318bfe892568db2c86e2e5aaaa2,13006761,2021-08-12 07:14:08,69970954655,413042983893254,212953,71910551579.64183,yes,no,,,,,
75,0x0eb9ec66015fd2a040aa49a6e386b4a596be7ae48509832296d8657450b356d1,13007732,2021-08-12 10:49:33,46867955248,11569308245355417,203739,103652901897.17084,yes,no,,,,,
81,0x8a0ac69e65a6c06da77a6334aef95f09820360a7132aa4fd6970e59cbaa2a0ba,13007732,2021-08-12 10:50:02,46867955248,11560592121999551,203739,103610121067.993,yes,no,,,,,
