,transaction_hash,tx_index,bundle_type,bundle_index,block_number,eoa_address,to_address,gas_used,gas_price,coinbase_transfer,total_miner_reward
0,0x8ac4d97b4ce4d0a1d4a9f4bc2e243b8b2f7c7932a61aba584ecc689cdbd4afa5,0,rogue,0,13398283,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x89B8419E53E6E88e0BD48759D831681e2228e79e,21000,0,0,0
1,0xb5981e7cee6dce84934e40ce7d2fe3476ca86a6f51ddb8631c2ab815bc189bcf,0,flashbots,1,13398283,0xE644F7B1c2f3Bf68686C3298cEFE434feBDb9415,0x4d246bE90C2f36730bb853aD41d0a189061192d3,121429,114597735347,0,13915488405450863
0,0x4e4a722ae7ed7813ab482747e46a79c2795ee430c57d82e5ba5a0726340066a3,0,flashbots,0,13398287,0x93F635372008B7c5d770AAa6Ff313454c8dc498c,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,205946,65634700052,13517203937090376,13517203937090376
1,0x3b2793e00a8045e9dc3b66428a783ddd1520de26c2e50fb71af59ad792677595,0,flashbots,1,13398287,0x78aB786669d27F97Ed104c65987C638dF8Ae841C,0xE592427A0AEce92De3Edee1F18E0157C05861564,134217,1500000000,0,201325500000000
2,0xebac3749255c7a21c79e700efba1f79714afc1ce1ddbd298b58e5f819c8e57a7,1,flashbots,1,13398287,0x8E10B3285Fc6843f0756F2425e9D783bee56Fd94,0x018D5C4783F5317815f6e8168942a12AddE3CD3C,141381,104738110047,0,14807978736554907
0,0x7d4dad8f40abefaa8ee3ec8f805147df2364e8f057f056d8e9a7dbba08f5d452,0,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0xD979D38ABA44aB906b2889a46FF3922dbBdC0eE4,21000,0,0,0
1,0xe9c979159978dfbac6c5fbf626e37d4e4705e16a175e9f8d6729f1fbc1b64179,1,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x4509170843dF93bef82f2320929ebEd264C714B3,21000,0,0,0
2,0x7690eaecad0fd197f8685ca7fbc0d385c449b3e1a04545a4685d26373c5a87bd,2,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0xb52863a75a963a84a7F10Ebf62409D1114A8DAEF,21000,0,0,0
3,0x8ff9281dcad89520ab6ca3d04d46c6e00f296a0970933e757b8c098b46209c8f,3,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x915298AE95Fd08D112C0196637e84f8a0602D51B,21000,0,0,0
4,0xb9998add1e4b47a6dacfe19a870aa86f62a3445b7b70457d48af47f0863d586c,4,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x90B168f0becb5D192Bdd63a34a9522Ee5E21Bd81,21000,0,0,0
5,0x652affdd1c624d62f3862702f35e56721ef70019e52ada4cd0a14b44822d19f3,5,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0xd2316268bBf47E32F718AB41b6E21B175d6feb4A,21000,0,0,0
6,0x0f9d30fc4f470fbf894637386e96afca334e4e8a2bdc714848945bab6bec9d89,6,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0xa687084833edD3aA8A0C8c788B179C982328c3F1,36745,0,0,0
7,0x7a96fdd65abaf338b26ea014810fecd6e28c5d577093da6f696380bd9f474e1f,7,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x0522C26E2672becCCd5F185D84Af8a43b78C5324,32596,0,0,0
8,0xc808f737ea67fbd8651598c1dd3e800c9a9a29948a5569924157132467fc1b5d,8,rogue,0,13398290,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0xC75017F6B4825366020113bac20AD93b38695509,21000,0,0,0
9,0x3e782ed761a6c3a96f9265f3dd79a82c0d1f1369e6053f6b0a48a37bc6dd7757,0,flashbots,1,13398290,0x9AAb3F81604c683a1a0D14019FBfe15bef7aA1ee,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,205946,166276540093,34243988326162414,34243988326162414
10,0xbb4b7c9810b2ab5ff53ec66ed2596adf4bf5f8550c43b5bbc84258481473f57b,0,flashbots,2,13398290,0x26bce6eCb5b10138e4bf14aC0ffcc8727FEF3B2e,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,196460,93851823236,18438129193101965,18438129193101965
11,0xa3b1f15c421097c0cf1d91780ed64f7e1762e472bb7d7ffda04116f8ebcb0ed6,0,flashbots,3,13398290,0xa08DF514E60FDDa85E8Ee5BaA3f6BCd424009574,0x3146Dd9c200421A9c7d7b67bd1b75Ba3e2c15310,278177,50000000000,0,13908850000000000
0,0xa9cd032e587af0e98e7f14e9ae499b492905c37d892ebbb1d059106032c9ef20,0,flashbots,0,13398291,0x9CaCF7d433f9827f528291Ec17DE2CDA4b87eF51,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,74962,54459314935,0,4082379166157470
0,0xa01f019c16673aa34241379f1d6d2f447489002a7f84ed5a13be2c29252667f3,0,rogue,0,13398294,0x74b892425a206eb23905a5F5C322e4386460312d,0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,92778,0,0,0
1,0xff153b2904cced40125d95dc2415fecc0b4a565262a8d784b3f5f290bb97da97,1,rogue,0,13398294,0x31bc74806E7D7Ab8571d94b2dAfa5d6734a6D1E9,0x11111112542D85B3EF69AE05771c2dCCff4fAa26,1451618,5000000000,0,7258090000000000
2,0xe0cfeeb78980d493940d79bf84482dee3e689e2c5ed40ec0ede9f517449aa3fc,2,rogue,0,13398294,0x74b892425a206eb23905a5F5C322e4386460312d,0x1d6E8BAC6EA3730825bde4B005ed7B2B39A2932d,82712,124611776356875,0,10306889246029845000
3,0x8c97eca20f59ad74ad94f54c014cc7cef8baff312405751d671a706f8d3cf0ca,0,flashbots,1,13398294,0xCC8eFEB2a5F50c81C5d7403676B198aE094B2F3C,0x00000000500e2fece27a7600435d0C48d64E0C00,93616,0,0,0
4,0x360ad5d1747057349b5b10f874b25e9e70b2ad095ba24e388cfc9a6e6fc3219d,1,flashbots,1,13398294,0x2d066AC715E39bf95C2D8eD3b8a174830c5F55f2,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,169859,2000000000,0,339718000000000
5,0xa0f62a8e37c8b21fe5629d7cf56f074f16c825e0897a361cc0b7ccff4fb1d9d6,2,flashbots,1,13398294,0xCC8eFEB2a5F50c81C5d7403676B198aE094B2F3C,0x00000000500e2fece27a7600435d0C48d64E0C00,83752,2729602752766,0,228609689749658032
6,0xef569aed6d5533afa0725730f384205bd2c957935670384accca2141d853b5e8,0,flashbots,2,13398294,0xfc23b61db3a1dCE083e82Da5A2CcFd91A2211f7C,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,200538,99992353601,20052266606462333,20052266606462333
0,0xf789eda4fe83251cbf4c9cf10c8c535711e09917cf055474918cd1c2c50d7d38,0,flashbots,0,13398298,0x927Cf8ceae6Efb1b7E81f5a7907E0E46d41619f8,0x4d246bE90C2f36730bb853aD41d0a189061192d3,260283,3274682363352,0,852344149580348616
1,0x341921cdc43eed13c6ceea218c5410b98ca57a03dddb8750a1b8f095a9f2d979,0,flashbots,1,13398298,0x00111b95923f6ef5DcC2FC44bAC83f5fb091C967,0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,136411,0,0,0
2,0xb25690cc005cd54d61177e7cde04c5b4e663ccd804e1b886168719fbea477317,1,flashbots,1,13398298,0x6E90aE41AF1deA6F0006Aa7752D9Db2CF5e6A49f,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,107500,22014900565,0,2366601810737500
3,0x86c69186b6c01a0e3937de1c2ae162b5db5e2afc2133c0ac9f5565ce75f777d7,2,flashbots,1,13398298,0x00111b95923f6ef5DcC2FC44bAC83f5fb091C967,0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,116435,452420693583,0,52677603457336605
0,0x71fd74f866a04dec30596bb02e5043b4c7b0f33dfa2c84e63ba6b6c60cc0a065,0,flashbots,0,13398302,0xbed04C43E74150794F2ff5b62B4F73820EDaF661,0x3cC47874dC50D98425ec79e647d83495637C55e3,1386413,33292863839,0,46157659233619507
0,0x728ebcfae26940d23b705f8c144036ffcba038db63f29212d472ce64a693e208,0,flashbots,0,13398303,0x7B34d49FABeeB86d785DB00cBe5B730B2AfbF2Ea,0x000000005736775Feb0C8568e7DEe77222a26880,92037,38026196,0,3499817001252
1,0xcd4eba4f66aab4ed077188b50470fa5dbdf759fce0c7868bd69b402372d2db7e,1,flashbots,0,13398303,0x91338ccFb8c0AdB7756034A82008531d7713009d,0x881D40237659C251811CEC9c364ef91dC08D300C,578587,2000000000,0,1157174000000000
2,0xcb991839ecbe60b041d3736b2ff8ad866fb8cb062b365d461c5becd53c4b7fa7,2,flashbots,0,13398303,0x7B34d49FABeeB86d785DB00cBe5B730B2AfbF2Ea,0x000000005736775Feb0C8568e7DEe77222a26880,81800,9380259166560,0,767305199824608000
3,0x77cb3822de29098792092a470e65ce836df6394507fce3006c0fa1920ad38b85,0,flashbots,1,13398303,0xb58555FCBa6479FcED7dE1485eB054943a09af7b,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,110880,0,0,0
4,0x7e51974304f0ab8ca39a232cce8bd5e31e928068f69e2a29b62bb3fa6a094f46,1,flashbots,1,13398303,0x90c3a449938d414b1322634766A9b05B507314F2,0xE592427A0AEce92De3Edee1F18E0157C05861564,241599,28411048014,0,6864080789134386
5,0x1abc5a2fd3d902c59a0d30a5eca42a48b14238ca44eb0c09f64c6d31ed5db139,2,flashbots,1,13398303,0xb58555FCBa6479FcED7dE1485eB054943a09af7b,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,107151,43018801653,0,4609507615920603
6,0x0e64379f5d27ff5b076fd008c896e4ce8f8ea34e66b577ecdc175fc899b09701,0,flashbots,2,13398303,0xd3CF90DE8d9c27943aB9cA0Ba763f37f6eB515dc,0x452c3F8858cA651F388ebc439B2719d1006354bc,342919,5310426038,0,1821045986524922
0,0xf6d1dba124e861ab47afd5fe3cf55539395bc70e6250175f91980effb9d9f877,0,flashbots,0,13398305,0xCB949f634DCA0B791981CE5706774ab91E112b3f,0x5c00AA8dA33ddD5c92E555600383A434f1d284FA,151076,2037537792547,0,307823059546830572
0,0xfb070a99eed2e52921fd0b010e8ed27e56acc4e15c86bb6bfa4026bc6372a209,0,flashbots,0,13398307,0x64F84B6E57658c93285E0D44636681e7ff73A96a,0x03f7724180AA6b939894B5Ca4314783B0b36b329,123763,2000000000,0,247526000000000
1,0x13f61d6b451eed2f3a8929f65f67c021e80a182cfdd46850c1fe4b4037f0d799,1,flashbots,0,13398307,0x156d44552196CD60a7558E5Cfd42A25b41E5445c,0x8FE7d9643077b4aB2885cB2dAD4236cc4784413F,183345,1368991374,0,250997723466030
0,0xb7575f8fcf9cdf4a3c42ffaedf0081e4496d08bb6d44d990136cf8ae5c7f27ee,0,flashbots,0,13398309,0xE0442523FDFD00dF9772c39b1307C767F521b548,0x03f7724180AA6b939894B5Ca4314783B0b36b329,120566,1500000000,0,180849000000000
1,0xde34185cf0d657c0e21c0baae4b5c0d0c0069049f4665df77a1c6d23969c4efd,1,flashbots,0,13398309,0x156d44552196CD60a7558E5Cfd42A25b41E5445c,0x8FE7d9643077b4aB2885cB2dAD4236cc4784413F,122254,416067732568,0,50865944577368272
2,0xad364046ed84a710f5420bd05ef064af885bb453b2f28386b3ae67157daa033f,0,flashbots,1,13398309,0x4f80b2cD1f550f81581c15F690bDD623F3824c86,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,149656,0,0,0
3,0xc640957bf5b38b0fd5eaa1a3543ac3d55561a038acfe1f8abfba4edfa6d5830f,1,flashbots,1,13398309,0x405C201964806eab7b0947AE35fB02795404F517,0xE592427A0AEce92De3Edee1F18E0157C05861564,160701,1500000000,0,241051500000000
4,0xfcfa92040e9d43c3143ef57cd3fa1d2aceb0313c30ddc6a8338a19a983b22b2d,2,flashbots,1,13398309,0x4f80b2cD1f550f81581c15F690bDD623F3824c86,0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,160613,498975961147,0,80142026047703111
0,0x1617c6f78c99937c8567656bd76d99d5a3baf1e1d1b2c69f282dc01db127d6dc,0,rogue,0,13398310,0x64F84B6E57658c93285E0D44636681e7ff73A96a,0x03f7724180AA6b939894B5Ca4314783B0b36b329,104955,2000000000,0,209910000000000
1,0x3e68ba6a163fe8c7052af74dd0ab1078b88a8e88bd40a8f39b715ed7722d8c1c,1,rogue,0,13398310,0x5AA3393e361C2EB342408559309b3e873CD876d6,0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,140816,1000000000,0,140816000000000
2,0x5b3c18a31f544548fe8d945355367b95a24bcaa6784e3da6418c98941c156027,0,flashbots,1,13398310,0x927Cf8ceae6Efb1b7E81f5a7907E0E46d41619f8,0x4d246bE90C2f36730bb853aD41d0a189061192d3,161076,1362365959505,0,219444459293227380
3,0xde28160282eae0b4a502e1e925c8d1ea4995499577d43991408133dac83cc0c1,0,flashbots,2,13398310,0x2d0862Ef64149EEbBb1222BbB556f50e81D1ba20,0x4d246bE90C2f36730bb853aD41d0a189061192d3,109407,77645755523,0,8494989174504861
4,0x978813d5bd73f1d16ced7736ae12ffdd4b67bbf29d285535fcb1bcc4cdbd94cf,0,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x89bcf42624274Fcd20d0aeb7049b77716D6159b5,21000,0,0,0
5,0x954b6b300fa51b95247b17fcf4f59cf45ffb257632745aa9720dbf43a8605643,1,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0xa180a98fC76979FF51aF94E6d4689199281a03a0,21000,0,0,0
6,0xc4587df9d9a224381dc7ef873bbe7b932b43fd2a6e8ef2626eddc43df6115224,2,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x4669412ef9673ad351D558f9f67a0A355C2f5904,21000,0,0,0
7,0xf9737d3c6d2e0ac35b1307253b42e2b0803cbf5ac6a733f40251da0b8e93145b,3,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x10ac79FC5f8b1C7CDa5Aab609362876a5F7D9B9C,21000,0,0,0
8,0xa843b0d0dcbe280e7dc2d1c30acad9abb7aa0662479c9ec73d7529d5bcc4259a,4,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x72dE399dE67251417adAdc16f48583f3d9af5A26,21000,0,0,0
9,0xd9d4b4b3c749df13b17f925eb5e760c6f7a5320623035c6c7b37c61223c7a60d,5,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x3577B087632a8e993930F929881959E8B82621f1,21000,0,0,0
10,0xa7569c4bcf509526595b47a1c866aa98f253f54f94612a210e0cfb329c3eaf1c,6,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x46c3d08138240336186F932d49C07370fE994acF,21000,0,0,0
11,0x9795df7b408cef65a2479340e8f87e5e6f570c8ea98f18f5130c7c36b1d0fca7,7,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x200186E3FcBeC3aa63De4F2d3952e9a843c20163,21000,0,0,0
12,0xb9751098e5fb1a3c01c698bc0151e6529aea736a23b2416bfdcbe24969892845,8,rogue,3,13398310,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,0x79eF3F14292e071511535bf3d5977E41F1823533,21000,0,0,0
13,0xa6cad0ca0cee321c57df9204904ef4cc89f3d511f17425d56eb0572e820f3e18,9,rogue,3,13398310,0x145c01A96DCD7352a1ef00E5788c86444B369BAa,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,168767,350000000000,0,59068450000000000
14,0xa6bdfadcab9d97cadb2992ff29f69699fb67122fef14ecfc51282c82f25b42f5,10,rogue,3,13398310,0x74dEc05E5b894b0EfEc69Cdf6316971802A2F9a1,0x9f46B1918A4Eb888af128843621CB78D440AD509,21000,230732190039,0,4845375990819000
15,0x00d06b63b4914886215bbb78f7451925dddf569d8a97d59b4bdb39532dd84724,11,rogue,3,13398310,0xf60c2Ea62EDBfE808163751DD0d8693DCb30019c,0x299211E374b985F6e42d0568957F6745eB006253,21000,212240780331,0,4457056386951000
16,0x05612b1b2e176f50fdd96440e52e95e07a7593f4cdbec15db166e96911f626ce,12,rogue,3,13398310,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,52224,212240780331,0,11084062512006144
17,0x6cccb427c223870fab7205acd7cd7adb4ed1225e892647461ccbd891c82ebca5,13,rogue,3,13398310,0x28C6c06298d514Db089934071355E5743bf21d60,0xdAC17F958D2ee523a2206206994597C13D831ec7,63209,212240780331,0,13415527483942179
18,0x0e700170c1e658fb73bdb12e209291a9d62139c3ba1c7b986b854302f5430a04,14,rogue,3,13398310,0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,0x8D1dFD58B9f39BbFe14Dea7DD3137fC5E431fC96,21000,212240780331,0,4457056386951000
19,0x1b434d8403d25d8d56385b36bfc1efbccf1a1ba0728164cfb4ef923be37298a0,15,rogue,3,13398310,0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,36940,212240780331,0,7840174425427140
20,0x0b140c3e5a4ed800d7b42bd9a6fd109e74bd6dc4a839f12ddd2e13a515915357,16,rogue,3,13398310,0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,0xDA5B36e97Ce388031F1BD8f0e6C7234e2EA11c5E,21000,212240780331,0,4457056386951000
21,0xfc2cbed35036b175040c79bde0ec993eb3469d64be4b42ab9b3a08deab59503b,17,rogue,3,13398310,0x4976A4A02f38326660D17bf34b431dC6e2eb2327,0x6eE65Df8C10ECe7a1dB1E29C58bA604e826cD654,21000,212240780331,0,4457056386951000
22,0xcc29d74521e360b5aa09c55f94b08c95016e9d57e1815b479b9bada7f2162fe9,18,rogue,3,13398310,0x28C6c06298d514Db089934071355E5743bf21d60,0x4BFF1e6f00450aee0a4FFC8A661B50030d079Fae,21000,212240780331,0,4457056386951000
23,0xc811f87cb7112f510498e26bf0c1e3b2068f5a5538b2b62661f9eae1a3c20174,19,rogue,3,13398310,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,0x4Ae2e6f0F454FAC56C5D81D9207eF799528156B3,21000,212240780331,0,4457056386951000
24,0x3e0a60a2c01c5a57e27e61b50bf8a8bc59ebd9693be96f67337a631f6f4f3ba6,20,rogue,3,13398310,0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,0xdAC17F958D2ee523a2206206994597C13D831ec7,46097,212240780331,0,9783663250918107
25,0x19c7b292ddea9c59f84d357258717f7b2d841b232c6263da000459df94b58b79,21,rogue,3,13398310,0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,0xdAC17F958D2ee523a2206206994597C13D831ec7,46097,212240780331,0,9783663250918107
26,0x5445da45c2e2720001d05721de60004c433f8fffb348108ccfd9331361171c02,22,rogue,3,13398310,0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,0xdAC17F958D2ee523a2206206994597C13D831ec7,63209,212240780331,0,13415527483942179
27,0xe3a862ad3005c25c7d6664ad880ddcb2d39918504b55ac301d5e4d0c17227465,23,rogue,3,13398310,0x4976A4A02f38326660D17bf34b431dC6e2eb2327,0x7FF81342e22639Bf13BA0fE2288E259425210F49,21000,212240780331,0,4457056386951000
28,0x9908cc033abd1e2a0f1be48b6412881cb89ee12e13444a9e14e3baea9541d4d3,24,rogue,3,13398310,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,0xdAC17F958D2ee523a2206206994597C13D831ec7,46097,212240780331,0,9783663250918107
29,0xbb9eccbaa00543a08568da126127390b53faa3d410ae0c109dc231b00ec0765f,25,rogue,3,13398310,0x28C6c06298d514Db089934071355E5743bf21d60,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,65625,212240780331,0,13928301209221875
30,0x7dd1d07ad84bc0e6a83f42c7fa2f2a2827d22fd1539b46b03472c94b76f6a04a,26,rogue,3,13398310,0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,0xDd5f095021EaFDC4cf82019eD9F42dd8eB70A2d7,21000,212240780331,0,4457056386951000
31,0x156b373ece59242258d3a74d9e11cad7a9b4267e96bcecfbd258bf0abbeb16cb,27,rogue,3,13398310,0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,0x2193b29FE5662c2BFB4440f0882b0d626D2701b9,21000,212240780331,0,4457056386951000
32,0xb79d85f2a6096e6ee511dfa9f99993f73818831e7778908160e322a1c8a9a29d,28,rogue,3,13398310,0x4976A4A02f38326660D17bf34b431dC6e2eb2327,0x149b4B1064Febf15289f9C80c2DB6c82E320a4eC,21000,212240780331,0,4457056386951000
33,0x4939e5a7e8695636522b27d20eeb238e82451fb7f71f74081f17dd6a1e41c132,29,rogue,3,13398310,0x28C6c06298d514Db089934071355E5743bf21d60,0xC5bBaE50781Be1669306b9e001EFF57a2957b09d,37231,212240780331,0,7901936492503461
