,block_num,block_len,block_gas_price,fb_min_price,fb_min_buddleIndex,fb_lastBuddle_price,fb_lastBuddle_position,fb_lastBuddle_quantile,buddle_num,fbtx_num,nfb_max_price,nfb_max_txhash,nfb_max_blockIndex,exist_high_priority,high_priority_trx
0,13417284,94,52.072753069,52.072753069,0,52.072753069,5,5.3763%,1,1,162.14016336,0x90a17ae1224535abfe989feff29ab57d2e730f77c1ee0b361161c216f913aeb5,4,1,['0x25b9679e5f3a89dfc9df2b6fec014d48bbeddbcb97e9b368e5482d558907177a']
1,13417285,148,18.690909305,2.0,2,2.0,80,55.9441%,3,5,169.863320649,0x8a7fa8d4b035ae6c9cc0697dbc8b5a662c7a55c27a2ec6a35f4249990a1e4346,5,1,['0x85d48a3af6947627318807c2036378226b4670f6ababff3f5459a3381202ea56']
2,13417286,374,106.356828361,33.877386916,4,33.877386916,0,0%,5,187,33.839,0xe6d93cece678c5ae538e920a22eaaea5006351add009917f4d807d46afbc64f6,187,0,
3,13417287,498,41.05976256,3.892596071493536,2,3.892596071493536,14,2.8455%,3,6,173.000000001,0x634da848f7a79dea227b7c5a0dc9ea54c454965a689eadf65202b2d53656ab7b,6,1,"['0x021a0179dda6fdbcd31cb4c5f4d5adf26b08734e2d21b2631a7a0f26ed5ab344', '0x65a9c90760e10dfd24cd397c7ae50c80c6fd383edbe3c323a1e87b4d5d5d9910', '0xca2745e0ac442f12033f3e4268faaa132b23ad3761b7610ab321f97d6f83620e']"
4,13417288,246,59.207898244,51.83217003104103,1,51.83217003104103,17,7.0248%,2,4,165.998705497,0x5e4a83831a4a4ccf538acf68adb11327749fce7f69e09af75146130320ba4aaa,17,1,"['0x7d4317edd7ce27c5215f750668398f77adb25b87f4a9db6b79d2f5b6312821fb', '0x94b90361bc4cd4d2f25cfd90d15da4f6ab1d5998dc0a47319791aef7e7fa90cb', '0x97605564b0be99ac85041c5a1262b2c6dc6eacc463252e618c67fa502eac5b8a']"
5,13417289,99,5028.422925115,5028.422925115066,0,5028.422925115066,0,0%,1,3,145.200628699,0x2075b550935baf576864c836e68954ade5d42c61c85266a13e06cbacf6ca2c77,3,0,
6,13417290,426,208.666243518,169.6913343333421,2,169.6913343333421,2,0.4796%,3,9,220.978141786,0xf700f0915b838955d42c9f58e0c6258ebacb355dea091b31bbf0eb6748c458ca,17,1,"['0xb4aa6dd32da1dbafbeacea07773d9cce218c9e5123f69c49e19127cbf2b855ba', '0xba38af9aa9564be31d445ac79080d60a66ebe8bd9df0f03ac92515716889a47d', '0xd32ba200812ad954f16adea171edb211c3c69ea18c87de8263845a7ed1dc6641']"
7,13417291,46,118.646819435,118.646819435,0,118.646819435,0,0%,1,1,81.165881892,0xc3295353bc272b7679da651c47bacdc63a404373c1ce80aab930d81082211c4e,2,0,
8,13417293,196,347.093010595,347.0930105951486,0,347.0930105951486,0,0%,1,3,258.482296674,0x798ef2a3e665bd0cab104db3f5d91fd84448c20bc7709c59ffed82fce259f28a,3,0,
9,13417296,407,191.101218845,182.610633842,2,182.610633842,4,1.0000%,3,7,233.934116919,0x414c9daeb83d11ff9fa0acc5a5b4b7622907ab883cbeec603cea512d1a056b13,13,1,['0x283e1dd81dce42a7aac0dd1b82656f558b8958c3eb3d65cb50392a2c99ea7fd4']
10,13417297,312,1264.445676558,1198.8918911306398,1,1198.8918911306398,0,0%,2,3,163.128686025,0xc0f92d455a01369667ae4198d6b74e1d663eaf2a0c94ce52ddca3b2c1d64a6fd,3,0,
11,13417298,48,1144.783780628,106.21053141,1,106.21053141,0,0%,2,3,51.447981479,0xdaa8651c17492a88aa59b519c7192c1c6939daf13883554b01964e596574bb18,3,0,
12,13417299,51,52.029490357,20.675522854,1,20.675522854,17,34.6939%,2,2,68.28564318,0x9a29c50951f836ac107a766615f66cd36e3df914fae33df1c8ac2b67b3983e7c,2,1,['0x98da1e2eec376af939ba828b05c6ad118cf9353583c0de1e02a2c90ffde2c620']
13,13417300,171,36.788053543,1.4807962297184951,0,62.003496577,9,5.3892%,3,4,270.654996577,0x5dd43fd0e41467c35f45289c79d8eef0ec424d76137868bccf2a58af43986db1,4,1,['0x707d4cbe7a0a1a49e3af0ce64f06c8e0d666b6dae02cef66c33dd0a791b8b503']
14,13417302,256,2702.481930491,48.941354155,1,60.89781774406482,31,12.4498%,3,7,280.941354155,0x461cb18b40a89d97ceaec62a7395ec0a5e2697d674fa7319ccf7f8affe55c1f7,100,1,"['0x8aff0ebed91d4e56f9c3c8a20b8968a8fa5c89e1efad1980ad83f1fc98cbc9a9', '0x8b199b2ae09e1b7b4a09559226b5d64f88d8d3090a8f651a37cec7b609a5285d', '0x8f0f7aa59dc44e325a60f527e31437daf842c55ddcae491b76a638588bbcfd65']"
