,block_num,block_len,block_gas_price,fb_min_price,fb_min_buddleIndex,fb_lastBuddle_price,fb_lastBuddle_position,fb_lastBuddle_quantile,buddle_num,fbtx_num,nfb_max_price,nfb_max_txhash,nfb_max_blockIndex,exist_high_priority,high_priority_trx
1100,13400124,104,22.831026765,7.380091931,1,7.380091931,42,42.0000%,2,4,50.297,0xb18208d4026e7c2183c4847de37f54235720636e351a490e2b2ef2ba74976db7,4,1,['0xfed78550706ad841600d1804ef75b491410b680785be846ef45275bd76467271']
1101,13400128,254,67.979363796,6.514701667570497,2,6.514701667570497,68,27.4194%,3,6,120.043097715,0x39579190f5c19a0db1817f90dd1c9cff1a4d9a9cb24bbb0465dd129b602a6ae3,6,1,"['0x6364f91b1c469ba00ba8c3b46df2faff88be1c63a426226c92569e193a88080d', '0x7c0c8d0a71835014900ff2b487df070d5943af00af90d73eb191d9463d3c9f8e', '0xabb8b14ec3bfd59e20d707fe3da2bc3b285df28941349587f729044443e6877d']"
1102,13400130,362,134.810946078,68.57568586471324,1,68.57568586471324,9,2.5210%,2,5,137.179846496,0xc9778b41414d60adbb7ef30057577f238a528dea0686fcef37cd53a105cdcdef,5,1,"['0x2cba7500bc7e3f7ececbd07e7e6a8ecda74b8ea4590fe0654cc26b06d20f36f9', '0x4e4a866412a86208bb191692fc9f5f81e733e14fdb2f551354ee8c7fd5a9d783', '0xb90200a5ec5ef1991b9bab14b3c06b8e3e4091d79dc493c347f10f3b64ce7dd2']"
1103,13400133,98,17.638032868,1.263706127384752,0,26.164166227,13,13.8298%,3,4,53.784368365,0x6a21356a11d02f297863435f7aa11165467372fa5280b6821899d27f8fbd3343,9,1,['0x8ecc95af3c5fe940d7e8eb3fc239bd4f654d8eae329ece33d0401e57187e9c7f']
1104,13400135,355,66.312872647,16.669607989,2,36.0,0,0%,5,25,34.871310715,0x12e33548003e28f44cd70a96df277db8ec6edaa819a4c5aad845db40696f63b9,25,0,
1105,13400137,302,36.812032722,11.017661502638603,2,36.0,0,0%,5,35,34.769789597,0xb918b1c3b06b439ca7d3116df53bf88e6b52845a4470824a5d90148bdd4eebec,35,0,
1106,13400138,293,60.258334358,22.923813468,2,22.923813468,27,9.3103%,3,3,88.389430804,0x258c17a1d0aa20205da28d7bf09884e282b6c4e703c6c72cafc807d1c8e17e6e,3,1,['0xd940404dc749dec2193d08e78f01b5ba62d5abe1856e1c54a0743aa1479c11cc']
1107,13400140,239,155.519133281,2.0,2,2.0,95,40.5983%,3,5,166.272976061,0xfac71b783fa169b15e308b6fe92e06287741438ff4c085b47b9f5d364c9c459b,5,1,['0x780609b54002de35212d7d478af8cca86f3577349341ae6b83991bd24dcdf10a']
1108,13400141,500,51.926407453,1.0,0,57.20612122990255,0,0%,3,4,53.569128195,0x518596e9e86c9fdb5f597f57bfdad5df12467eaa328b4735e3a8cc4e1c6e80a8,44,0,
1109,13400142,66,36.0,36.0,0,36.0,0,0%,1,1,30.728782398,0x5b8b2d19ac38f21407720be7442c3a8a0901a62a8acb487ad8503dc490b3527e,1,0,
