,block_num,fb_min,nfb_max,exist_high_priority,high_priority_account
10,13398266,0,2.02536E+11,1,['0x934d9a1ff784e8bfa1f78d426911c6cbccd95b2af78025bd3f85af309c45de09']
11,13398267,0,2.22513E+11,1,"['0xb4de418ed43ebbcc3e9e09d6e8ac23fae5471444422f64b434a10d1f9b36b3e8', '0xc65dca83310475c3d0937337ca1e79904c99685129cb0a6b395a68259f2f8737', '0xc9d4fdf108509bc88c50f95ee733e8b67f2b1868d55a3ce6b406a8f79760c410', '0xff7b7fe199d1ab971c7c63d224cb70db89def41f16c15eb8d0b87b0e0a01c227', '0x2525e0520f0e139a63af9f57615d1058a2c0867acc6b3e99edea939bd62caaae', '0x81bac42c9e135f1f8d3c9e3fb4c3861d5340ee878e50a9800e33b134d6581ec2', '0x5091f60d2cfec492dd0ec7d9772effb930f28fdb72eab19534297ea8626e6d76']"
12,13398268,51727502600,92727502600,1,['0x8f4fe03da7b72cdaa95268319c46d9d349ea380215cb7be3a560dc97ffe21114']
13,13398271,0,9.2565E+11,1,"['0xea7f98b57d9f64230f09ecd9047c295574a70b9fa0fb14056cecd0e216fb124e', '0x98a092246f9b33f342bac8e69303d86791878a9567686ab35d64000fe3b6fabc', '0xcd7bf6d7df77b632626286a1fd01717c7d93ac72fb8e886918755a047212c3fd', '0xb3655cf2eced4970cc042104cada6ad81dc93eb44cae4e521ee975cd440f7816']"
14,13398272,5000000000,1.59445E+11,1,['0x297b8853e93db81755136608c64dcd9af36a96cf1e2831249991959b8c0d347e']
15,13398278,0,1.16037E+11,1,"['0x2af88942e67c8a50e80b4c2a6a5d6c1236d646f5b5cc67e16e8e06e0d8acd4ff', '0x8b66e41ae6b03cdf38af576c39e26323b4d1a5a38e5e22508e3ddc8ba7cf1dea']"
16,13398280,5000000000,1.60174E+11,1,"['0x6341cdace7e949ed86dea0b0a7b8639a2524570d3b6591f39ed50686fa30b30f', '0x8ff9de58d0382f69a13b4fe944432e0cfd9780001033508683f8b32b4db28d1e']"
17,13398282,0,3.34867E+11,1,['0x0561e8a19eb4454bf0c69902c1e0341d05c06beb1e0f8b2e23731942e290d1e2']
18,13398283,0,54203525471,1,['0x8ac4d97b4ce4d0a1d4a9f4bc2e243b8b2f7c7932a61aba584ecc689cdbd4afa5']
19,13398287,0,2.06051E+11,1,"['0x4e4a722ae7ed7813ab482747e46a79c2795ee430c57d82e5ba5a0726340066a3', '0x3b2793e00a8045e9dc3b66428a783ddd1520de26c2e50fb71af59ad792677595', '0xebac3749255c7a21c79e700efba1f79714afc1ce1ddbd298b58e5f819c8e57a7']"
20,13398290,0,1.61365E+11,1,"['0x7d4dad8f40abefaa8ee3ec8f805147df2364e8f057f056d8e9a7dbba08f5d452', '0xe9c979159978dfbac6c5fbf626e37d4e4705e16a175e9f8d6729f1fbc1b64179', '0x7690eaecad0fd197f8685ca7fbc0d385c449b3e1a04545a4685d26373c5a87bd', '0x8ff9281dcad89520ab6ca3d04d46c6e00f296a0970933e757b8c098b46209c8f', '0xb9998add1e4b47a6dacfe19a870aa86f62a3445b7b70457d48af47f0863d586c', '0x652affdd1c624d62f3862702f35e56721ef70019e52ada4cd0a14b44822d19f3', '0x0f9d30fc4f470fbf894637386e96afca334e4e8a2bdc714848945bab6bec9d89', '0x7a96fdd65abaf338b26ea014810fecd6e28c5d577093da6f696380bd9f474e1f', '0xc808f737ea67fbd8651598c1dd3e800c9a9a29948a5569924157132467fc1b5d', '0x3e782ed761a6c3a96f9265f3dd79a82c0d1f1369e6053f6b0a48a37bc6dd7757', '0xbb4b7c9810b2ab5ff53ec66ed2596adf4bf5f8550c43b5bbc84258481473f57b', '0xa3b1f15c421097c0cf1d91780ed64f7e1762e472bb7d7ffda04116f8ebcb0ed6']"
21,13398291,54459314935,1.88815E+11,1,['0xa9cd032e587af0e98e7f14e9ae499b492905c37d892ebbb1d059106032c9ef20']
22,13398294,0,1.84817E+11,1,"['0xa01f019c16673aa34241379f1d6d2f447489002a7f84ed5a13be2c29252667f3', '0xff153b2904cced40125d95dc2415fecc0b4a565262a8d784b3f5f290bb97da97', '0x8c97eca20f59ad74ad94f54c014cc7cef8baff312405751d671a706f8d3cf0ca', '0x360ad5d1747057349b5b10f874b25e9e70b2ad095ba24e388cfc9a6e6fc3219d', '0xef569aed6d5533afa0725730f384205bd2c957935670384accca2141d853b5e8']"
23,13398298,0,2.33448E+11,1,"['0x341921cdc43eed13c6ceea218c5410b98ca57a03dddb8750a1b8f095a9f2d979', '0xb25690cc005cd54d61177e7cde04c5b4e663ccd804e1b886168719fbea477317']"
24,13398302,33292863839,1.62371E+11,1,['0x71fd74f866a04dec30596bb02e5043b4c7b0f33dfa2c84e63ba6b6c60cc0a065']
25,13398303,0,1.91531E+11,1,"['0x728ebcfae26940d23b705f8c144036ffcba038db63f29212d472ce64a693e208', '0xcd4eba4f66aab4ed077188b50470fa5dbdf759fce0c7868bd69b402372d2db7e', '0x77cb3822de29098792092a470e65ce836df6394507fce3006c0fa1920ad38b85', '0x7e51974304f0ab8ca39a232cce8bd5e31e928068f69e2a29b62bb3fa6a094f46', '0x1abc5a2fd3d902c59a0d30a5eca42a48b14238ca44eb0c09f64c6d31ed5db139', '0x0e64379f5d27ff5b076fd008c896e4ce8f8ea34e66b577ecdc175fc899b09701']"
26,13398305,2.03754E+12,5.71399E+11,0,
27,13398307,1368991374,2.09191E+11,1,"['0xfb070a99eed2e52921fd0b010e8ed27e56acc4e15c86bb6bfa4026bc6372a209', '0x13f61d6b451eed2f3a8929f65f67c021e80a182cfdd46850c1fe4b4037f0d799']"
28,13398309,0,2.27872E+11,1,"['0xb7575f8fcf9cdf4a3c42ffaedf0081e4496d08bb6d44d990136cf8ae5c7f27ee', '0xad364046ed84a710f5420bd05ef064af885bb453b2f28386b3ae67157daa033f', '0xc640957bf5b38b0fd5eaa1a3543ac3d55561a038acfe1f8abfba4edfa6d5830f']"
29,13398310,0,1.14083E+11,1,"['0x1617c6f78c99937c8567656bd76d99d5a3baf1e1d1b2c69f282dc01db127d6dc', '0x3e68ba6a163fe8c7052af74dd0ab1078b88a8e88bd40a8f39b715ed7722d8c1c', '0xde28160282eae0b4a502e1e925c8d1ea4995499577d43991408133dac83cc0c1', '0x978813d5bd73f1d16ced7736ae12ffdd4b67bbf29d285535fcb1bcc4cdbd94cf', '0x954b6b300fa51b95247b17fcf4f59cf45ffb257632745aa9720dbf43a8605643', '0xc4587df9d9a224381dc7ef873bbe7b932b43fd2a6e8ef2626eddc43df6115224', '0xf9737d3c6d2e0ac35b1307253b42e2b0803cbf5ac6a733f40251da0b8e93145b', '0xa843b0d0dcbe280e7dc2d1c30acad9abb7aa0662479c9ec73d7529d5bcc4259a', '0xd9d4b4b3c749df13b17f925eb5e760c6f7a5320623035c6c7b37c61223c7a60d', '0xa7569c4bcf509526595b47a1c866aa98f253f54f94612a210e0cfb329c3eaf1c', '0x9795df7b408cef65a2479340e8f87e5e6f570c8ea98f18f5130c7c36b1d0fca7', '0xb9751098e5fb1a3c01c698bc0151e6529aea736a23b2416bfdcbe24969892845', '0xbb0664d0ae06e27b33bdf0eb34ac67c4a3601de4fdf2a4fc9a15365ddf4f15b6', '0xe0866ce9148d35f303a977a1de4f7f78a83210b4a746fa4705ccfead42cf8051', '0xa81c02964b531ca995dc4bdd22fbee1d16735137e62e98f037b35f0578790181', '0x0b9b27f705a633b077ce95c2eb8a5df25591ac7b89f7f28cc5d82eee5004cc99', '0xdfd6ad03dba640a9f43cb4b97ee79ccdba1ad54e1221eda94f5bb517785ecd43', '0x2272999972cbfae2888d1aadbc2654670ee57bd893c82f8278e9a668164e2eb9', '0x36791e240de7cc671c932c8f4a15e509e6e2d730ed677130c35971779e6cf858', '0x871617d7632de1fa326a46bcf97b04807ccecdae2dfe7db03ab1818615939ae3', '0x8bc7170d50d98e81d676b4299f17e2854a7836ac3bc6bc805ec42ef579830576', '0x842eb3a1cc4a86bc8fcc4de976934c7077941e786797486e034733d581ae537b', '0x04c95de6074eb7d3e2c08d9c3ef3d6200bc786b3634ea16a55bc45fb1fba734a', '0x744b5dd45b5cf4acdffdc30138e5ddc59c6df706657dc725f9c6fc8b016932fe', '0x7db81f35fd5b4ec7d5ca8f6867ced8aa680d501aeceb34815d6e21af46cdc7aa', '0x9d24427626a79831283407b174cc1136fbe818ade991670360abec8d59899472', '0x67661a78247350b996e75a87119f565d8fc0d0d9ef33d726844174ffa603f24a', '0xc907074d5f2ed8360b118defc5d7de4d65b0257073e3b023f304441e061bf1ca', '0x997d9898b8cfcdb02cd216237395d8fd19685f10c7da0a05eb257c45f73ae823', '0x60ef5445b373e808f19cb75d9849f17a5be0d305ba9a68b1c71efea68e1225fe', '0x388096e5e39fdbd28569e36f7801d8d249b489963e2f7d0862f73adbe6993831', '0x717f3bd51a43a7c0af5a18dfa28e8029fa94818c6ee24d583c9262f30975e8f6', '0xd9a4d769ecb144b72ec1594be8db30732d86e5ccfdb5834a2dcd589c7ddd2e5d', '0x913c691f85189654ef9be4dc0d02565cfa0000c5bcd4f078268cd15dd3cde8c0', '0x0e22976119143c9bc2131b2359d93886be70fc0545efbd0e6aa44e28b9ed0df5', '0x653cc33c918b869b504cb63beabb96c66ce0871e5616e5bde85c6210244b4464', '0xed6bc2f2848976b7f7efb3e8f75d9dc5639a76115608865f85ac0b18483efa8e', '0x8d11a62858554faa10899eb18964ad2f181af9ba2c3c23c908e8a29644baf14c', '0xfccce556806214b7ff8d6725004857496d8bc187322cf25e71b6e1baf53b4cf8', '0xcf976b48bccad5a97b5b1978e7b5c180e7df2577c21e6507adac9e23c100c85d', '0xe31caddff6d1cf739b6064dc9d213ca7eb957035e11036297b005b345bee0d33', '0x2a07801de3a56111981905aaa97995dca2d5848680d295599f80e1906318c01e', '0x4f32920456cb9287f8290adccfb6457ee1beb247a4aa5df39169cc113e633124', '0x4e9736822e31eb3054c74b9a1e5763bceac72a1a6ee3ec5973aa86cba69a0345', '0xf9cb0c15c6ffa2c6cc7ee91dd3a0f43c1ad9aa5e931fcd9fa02301529669d260', '0x872618411a4aef3bbf867c3191ff2387f6bbecdebd50bf049aeecb453858e8ae', '0x154d7960850435801313080c33c54f409c792519f20fd867bf59b4aa97a8bc99', '0x065e80451911e78335169326edc7612196b909dcb440e877026c2b1262e9fb46', '0x253f9c6e6e299b8e8e59d618b1da6f5a0acaad69880272aea8d5741ea9f03ce5', '0xe2d516693797317e3bd9b11e409f48d2703087b4715d2d0a6efd8906579214de', '0x1cdf8f9299101214778201399763319dbe4b951046aaef0484397a8197c33a23', '0xd4ed6ad0a7c52d6dacc0cee44a3e27aa44120170be7a5adafaa5648196233573', '0x87db57c19e04af1a526c9ecee9ccb21b985b9ab4defb641bd7982d33b2336bf4', '0x33df0e150525721c197727f78f552f916d48cb2027e90f16e9975f0aa9701e77', '0x59453c236684fce85db1e0f6a7062d0a680eff97ece15d4c2b929d8799664c5b', '0x4cc9d054b3bbecb8fedc5fb476918b1e21e23c0617eef6d2e076c2b67f0fc9a9', '0x8798b25bc5ae34961100ddfc41ac288af8b56cba0c3960c1c04970cb3edc8e4c', '0x7c3eb44f0f08f3323b4b02e4ada95c573aa2edfc87940b230c0b0c2cc6803f66', '0x5b4a6c9b7c2e64041a0436dac0117a74233dc82bce1645c521543a06a2dd1e9c', '0x087ad7652c2ecc25f192a9992115c075c88031a34e9ec7070784e272253f98cf', '0x045a8c275c24c271a24c0ae8ae56f016564b42e8cdf9f1fcee4499662383dc46', '0x0d03f6d0388f1d8fba6855a371cc85727392f0c363073b0b6a2d8778356a6035', '0xa0a4c64f277726fd645163ab7eeaa76e99c5f99f4df3d4c346dc71a1d66876e7', '0x21a082f80d8fa8b930edae9d5073fe1664a17277259eea9973525fbbc108114e', '0xe1cf41f7e92c3a15d3a4debaeeb4065628bb82366df438222827edcb77fe6b6e', '0xf44985964a31faa09b1c14df6a4870beaf97efae50780e2f4a35bc5486f2bfc0', '0x297f281b95a72ff9fa2d97364bdabef659c9436b3152bfaa352a13d233cfe898', '0xcb98670d1a28d7a6bc36d0d7835a8d5463b8caf0e9db01bf21bbef1c741ebfe3', '0x933c9974ad35a2c6644ca660e7803f1f9fc6e41d4a76842b8a30c5b4d14740e6', '0xcbb40c61c457e865d3295d72cd0643c0993805ebfc08ee87a6eb77dafe5ba5df', '0x0c64373c2dfcb23b4d514cbc83f63f54c9d459bc8528b47b957b1be28e2333d8', '0xf95d41ef3b7bf5d8e7d688117538ae37134ebd2f7fd8fbb495e8d08f07bd40a6', '0xd8d9a0fd63cebe36f42a329945bd485e2e81f4bbff2b64456b50091bcad33b4e', '0x9b32de8ce366aa918f9e80bdfd64e1a7949ba2b389b066d35e7d5349fa067fc8', '0x51ea466748e4460d28a24494faf7572665b3bce996bfaeb4f4c026726b8b40b5', '0x0f6a3656066015b61a15a804fcae1a8448a04787ed0f13eb1d10525a07ca0c7a', '0x7e05322321ef669876ec7f110db947f6beb557c7e51d2dbfa91dd7b3b697ebff', '0x8f23291ae5b8a1dbc372dd4aa424518a38b88cdf931559fd66399ccae54f977d', '0xeac247f845fea344f2da94d1adad5ca86cdf7ad736fab0fc816239c6275142a7', '0xa19fd1daea9d0c5f13f3f7b72f3bf7dc16871ffe240e6ec1a68357644ddcadc4', '0xcb27e94810a5730d120bf53c5cb30101ebcf8a80b4a4502bc2add75d55c662a5', '0x9cf3762ea87b286e20f7b9d00ae8e3f7e1627c54a552ab59cdda74a5e7508c50', '0x3856e18970d3751e355f527142da8c4f796f26a1f693c3228c84497c3e7df58a', '0x424007fed562e3af02bd81116e75ff6b6b989ad7d50c1f51fee2d22e7971b111', '0x76e35e001bb8a1afff644e358b7562a34dcd57bc1de800b15f04b4dfb0f6349f', '0x7680fca5802c76ad96f1d3ff9d0f9d62958e7632d1fcd43f1cd84143e54820cc', '0xbb200f070c19754d05c4ff800570a9b780ca9b597114ea4372aca532135c4d54', '0x34ac6f91cb419e8fb7a707bfaaee6d206ceba1e8cfa9b794c893592f8b0ef6ea', '0x2f9b9d932d683355f11607d24e46bb1f00fa46dbca5d2235ccb5a0d4b0907ee7', '0x7cd054fea1b56fe4b0eca340fe833be1b3d8279a0dba9d08b395675ed07c5f29', '0x2291aa8de629a2cd4fe02fe206a48f2f3f4b103467bcab35f5f0e063a9cf5158']"
30,13398311,0,1.94653E+11,1,"['0x5bb3ee64575ac751355929aa1690e5c4b5a500f392ec7581e082cadc3f42e95b', '0x4b7d6290d3802b09288c513e22a509ad4328fcb7dcd9049832fb0f464f52eb4f']"
31,13398316,0,81768571994,1,['0x277ce5bc1775c91b2574ebda34ba8880096edb1948531836a5691848013a5154']
32,13398317,0,1.29401E+11,1,['0x2aa865be3b1476fc193a8f3ff832805fd05d09de13e102516a043df76b5435da']
33,13398318,9410,2.05275E+11,1,"['0xce7818f1b6145e23e78a49e8b245d3b8280dc7fb6de2c39a1eda242057fd0422', '0xca63b4d624c8ef9cecd13acf33d00d41f4e47731c9e2781cfc29d3bff6518a85', '0xf9cd23cc2ccfd1db4bba9c08da6d4c00d0d1e38870cbb9eff116874b7ae84ec9']"
34,13398319,0,2.05915E+11,1,['0xeee35a1efdaeaa8c0498635a015844515962d04678e60cec3e9247674823a8db']
35,13398320,0,2.06276E+11,1,"['0x58af3147b2f81c2176261ca05c08b9930f52ccb5319bf2a24a7045c2104eccc3', '0xd3b52a59394f5c484270bc9e45fec6d4442e823fd33669396a9231f2060f94ed', '0x900ce42ce50eba7352ce973e944e7fd8284062087d902b5c7a6b59e93c868be0']"
36,13398321,0,2.07359E+11,1,"['0xe7be723be98d807b9daa5b46f32f0be3d27f15e4bd33661573378e357f2c4406', '0x8949adeed6d6b6d4be359e4f47d2517e32e5a6bf5f6837e4a6c3906e869d604e', '0x81478083d76181d38368cf10b51be13d04b8b413b39b53889e360352bd2a00a8', '0xc0d83ff28c3cd9da5231eeb77251506aa4cbf0b6a362c7858bfa23c49eef01b3']"
37,13398322,0,2.03912E+11,1,['0xbba461be9165fbc23ddae5a30ed1478de1ba633a8318d7c4629e3b7fe2ffbe5e']
38,13398323,1500000000,2.13049E+11,1,"['0x3a070d38a115c2aa5b36341a848c2618c5ef6cac27d50085502fdc86fed5ddde', '0x0ba568bebccb68c24706cabe1c4b151671c1e61038b2c8dd1a9233613cd59d75', '0x422aa0017361f5e8c7542ac56a018d57281b61560c7201a69573517974642b33', '0x5ec8e07c5fd46063bb842fcad3dabb189034f2b62733b4b6aabf50e8adb1c59e']"
39,13398325,0,2.24661E+11,1,"['0x254d35daef7e6956808313526fe5de6a8a9812cb3f69eba9db7ecee750a5b138', '0xe25284eae59ddd323ff256360a81de5c18da6c62c7150f5f96112165195e2ab9', '0x10875872c0d5fc5023f7549288188b06c51dfe6fa69f5ef50cea46bfba7c9f34', '0xaf32b19b2454a0c9fe5c07a3406b3cc1efe68086cfe07fb83f1631c8a4f259d8', '0x4ab1b06471561a4477c336559347abf66122a7c60f3a55fa8ecaf3fe58d0fe54', '0x23b89f7ebae9fb4e544bca082f8373addada35d1da2083735967179bbc53ef6b', '0xb6d23f00791360a0283d3ed04c3530dc843eb0eb4700c1e6fe0858f7c1959930', '0xb8124f96ab5480eb9402ea596691ab950d6b7c60794413d5210a03ad30083ee8', '0xb41a1c668f5a4505ac0f3df30e68908b541914badff0e2be12f45b77274dc45f']"
40,13398326,1000000000,2.08623E+11,1,"['0x71fbd53eafa6a18ac4ae95d683cc25b7d212a84b7275172c860ca5a389574138', '0xc103de84425d2280eea3619cc2b59bb9678187c44d901798c6958280cb697193', '0x5aa0a653c19f98a0c8ced1ed54e8b1b43397726fb44ed402805ed2c28c752714']"
41,13398328,0,1.44669E+11,1,"['0xfca7cc3395b90f43f70c18a97430764ebbd6d4a50c833d78a6fe9eef9749872d', '0xb3f53a14a4ad8d3f123d48d34674fedc1341367f2e8eee1d38bd826364e04974', '0xb50005452e9c892f90af4a218a07e03b1cc944392de2d8d4a97c97d0c4d94ff8', '0x87986fd3a33e928b04fa9c85482721f0207a5c0a5044c94425bd2f9da9e0f329']"
42,13398329,800000000,2.09418E+11,1,"['0x73db49a562c1164d54a132ba9878879d4676b18d7e9e07ede6d4081920f542be', '0x7cffb6991aaba987490743a842597694c5a9a541e43a66fdb5666dfd3debfe28', '0x1c3550a1e431fffa9ab4318c6d5a7727b9ca8f5aec078fbf45fa369ca75945ab']"
43,13398330,0,3.70496E+11,1,"['0x628cc3deac5e51a4360fe0bff2c99888f9d55a3de41af48bb610b53ba0ac7b7d', '0xa05bbbbe48734209c4c8cbb15fd0a14afafdb11174c0a8276d60e5cd8ca86da2', '0xb63612e5597250c5711525eea4f6eed8da2a159e74992a925f15c3eb4ac476ea', '0x15e35ca3ee3c618fafcbcea01f0e245385fd67d1e54ce45e35ec3d789ed024f1', '0x34dff59be655c6fddd3e356f6519f183ccd426390de0d6f5d49a87c237570fd4', '0xc0094a3ce744e002c745b514e76a5b00880ddd418b2973807e0b0542ab52b3ac', '0x0c19760255d77d3e079552f8f50e5d695b9547f522c9b8e46815eb9b1576f78d']"
44,13398335,0,1.09458E+11,1,"['0x2a9a7168b4670e536098fa76ce89a1342cda3b97f78eeb29cce47afe1a95e664', '0xb1e2bc4651cb7a2f5111dac325345d144e2f2a2a2b472346684ff91f7f9777de', '0x9d21128b310998f89b52beb1b215a134ac226882830bd110428786c934173b70']"
45,13398336,0,1.45216E+12,1,"['0x664f184198f2f056b50778bd3e630f2e50b2756960cd39cfcf0b8a17b0c99999', '0x830499e3ed26dbe271a7efafcb52666e86ddc3e44d4c38b39397a628a55f1eaf', '0x588531bc036514f479c6c012e237eeb8ac8e55ee17b8a3f07306aa301453cef9']"
46,13398337,0,1.33153E+11,1,"['0x0a0c21af6edf85c10677100f18b363baed4097262766d05cfcacf56865b95925', '0x31ea6ab535b532e8252125849dfe7b82cb4eddc24639b47f3290e157d15ed15b', '0x88facaca82b9e3d7db61c191185357da1be3d4b1a8ed3c28e0085b3ecfc3eb1d']"
47,13398338,0,1.54397E+11,1,"['0x9bfcef5602ae7935f8595e2f507db482c42cd7b36cbf996165d39025c2bf67c8', '0xf4af545f7eb88ef85d5afa9704a0253f576af062c3f12b042f2182e605aa69d9', '0x843a48119158a0e27da2fea7d518a014abaa039edfb7654ff74c4fe0049e4d56', '0xb24187f0a6c9194e28d1c4ca296c26375705be748c5579c06f31e7290d634463', '0xd25fd092bf39b02b6588b048b0ea66ce5ead8e849511a51997f2142aa764c7fc', '0x04c7434c6cd18687928d18991e39a96e8c4b372e774b412fe1cc3f4c6209f352']"
48,13398339,75883927827,1.51878E+11,1,['0x28e50b0d9cf4e9bc5733336305d6f5f75fca8f8e640fa23efb34c816800675e3']
49,13398340,0,2.77864E+11,1,['0xb6bba8e350beec9658d1842b796b041457cb95d5254d07581f38ea7ef81a10b2']
